Process,Path Name,Disk Service Time,Size,IO Time
svchost.exe (2012),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\YYExplorer.exe,9691.734,4096,523255.399
svchost.exe (2012),C:\ProgramData\Microsoft\Windows Defender\Scans\mpcache-5D723B4BB92F3F19DBEA53F1D41777770A61E0FA.bin.5B,13499.691,12288,515255.709
svchost.exe (2012),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\YYExplorer.exe,7421.334,4096,138098.906
Dbgview.exe (2660),C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll,11616.002,4096,41036.849
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,3254.045,32768,33297.248
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,7681.912,32768,31910.270
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,14947.780,376832,31338.759
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,8331.646,1044480,30564.359
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\Web Data,9522.579,4096,28029.959
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\resource.db,11483.024,16384,25543.958
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,12859.735,32768,25141.114
YYExplorer.exe (2888),C:\$Mft,12573.246,4096,24442.980
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,11743.112,32768,23826.003
Dbgview.exe (2660),C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll,10803.957,32768,22537.780
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,22300.669,2097152,22300.669
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,12389.424,32768,22113.913
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,11133.468,32768,21349.780
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,9234.623,32768,20799.780
YYExplorer.exe (2888),C:\Windows\SysWOW64\shell32.dll,9493.734,32768,20063.024
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\TransportSecurity,8579.512,1024,19863.069
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,6591.690,24576,19375.646
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,19338.491,614400,19338.491
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\resource.db-journal,7435.023,4096,18600.269
YYExplorer.exe (2888),C:\Windows\SysWOW64\ntdll.dll,17791.646,32768,17791.646
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,9055.202,32768,17630.313
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default,10053.023,4096,17601.957
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,7106.979,32768,17562.846
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,11829.157,32768,16808.491
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,5783.557,32768,16807.513
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,10324.356,32768,16806.535
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,10566.357,32768,16805.557
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,9806.623,32768,16803.602
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,16439.868,1024000,16439.868
YYExplorer.exe (2888),C:\Windows\SysWOW64\shell32.dll,8995.557,32768,16190.535
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,6350.667,32768,15325.201
YYExplorer.exe (2888),C:\Windows\Fonts\msyh.ttf,208.267,32768,15286.090
Dbgview.exe (2660),C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2\comctl32.dll,11807.157,32768,14711.157
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\RestoreTabs.json,5618.801,3072,14302.446
YYExplorer.exe (2888),C:\$Mft,8247.068,4096,13827.735
dwm.exe (1496),C:\Windows\system32\uDWM.dll,11551.468,20480,13410.712
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default,13119.823,4096,13119.823
System (4),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default\Web Data,2819.423,4096,13094.401
Dbgview.exe (2660),C:\Windows\Fonts\simsun.ttc,12819.646,32768,13041.112
YYExplorer.exe (2888),C:\$Mft,124.178,4096,12966.801
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,9558.757,61440,12911.068
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default,5428.623,4096,12787.379
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome.dll,12279.423,1028096,12279.423
YYExplorer.exe (2888),C:\Windows\SysWOW64\shell32.dll,7174.445,32768,12233.957
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,12218.312,32768,12218.312
